iteration,time_step,uav_id,death_type,final_energy,neighbors_notified,replacement_needed
48,56,5,STOCHASTIC_FAILURE,5351.62,7,Yes
48,56,2,ENERGY_DEPLETION,0,0,Yes
48,56,4,ENERGY_DEPLETION,0,0,Yes
48,56,5,ENERGY_DEPLETION,0,0,Yes
48,69,6,ENERGY_DEPLETION,0,0,Yes
48,69,7,ENERGY_DEPLETION,0,0,Yes
48,74,8,ENERGY_DEPLETION,0,0,Yes
49,40,1,STOCHASTIC_FAILURE,36719.1,9,Yes
49,40,1,ENERGY_DEPLETION,0,0,Yes
49,53,0,ENERGY_DEPLETION,0,0,Yes
49,55,3,ENERGY_DEPLETION,0,0,Yes
49,58,2,ENERGY_DEPLETION,0,0,Yes
49,58,4,ENERGY_DEPLETION,0,0,Yes
49,60,5,ENERGY_DEPLETION,0,0,Yes
49,64,6,ENERGY_DEPLETION,0,0,Yes
49,75,7,ENERGY_DEPLETION,0,0,Yes
